CATEGORY,NO,AREA_CD,AREA_NM,AREA_SEARCH,ENG_NM,,,,,,,,,,,,,,,,,,,
관광특구,1,POI001,강남 MICE 관광특구,강남,Gangnam MICE Special Tourist Zone,,,,,,,,,,,,,,,,,,,
관광특구,2,POI002,동대문 관광특구,동대문,Dongdaemun Fashion Town Special Tourist Zone,,,,,,,,,,,,,,,,,,,
관광특구,3,POI003,명동 관광특구,명동,Myeong-dong Namdaemun Bukchang-dong Da-dong Mugyo-dong Special Tourist Zone,,,,,,,,,,,,,,,,,,,
관광특구,4,POI004,이태원 관광특구,이태원,Itaewon Special Tourist Zone,,,,,,,,,,,,,,,,,,,
관광특구,5,POI005,잠실 관광특구,잠실,Jamsil Special Tourist Zone,,,,,,,,,,,,,,,,,,,
관광특구,6,POI006,종로·청계 관광특구,종로,Jongno Cheonggye Special Toruist Zone,,,,,,,,,,,,,,,,,,,
관광특구,7,POI007,홍대 관광특구,홍대,HongDae Culture & Arts Special Tourist Zone,,,,,,,,,,,,,,,,,,,
고궁·문화유산,8,POI008,경복궁,경복궁,Gyeongbokgung Palace,,,,,,,,,,,,,,,,,,,
고궁·문화유산,9,POI009,광화문·덕수궁,광화문,Gwanghwamun & Deoksugung Palace,,,,,,,,,,,,,,,,,,,
고궁·문화유산,10,POI010,보신각,종각,Bosingak,,,,,,,,,,,,,,,,,,,
고궁·문화유산,11,POI011,서울 암사동 유적,암사동,Amsa Prehistoric Settlement Site,,,,,,,,,,,,,,,,,,,
고궁·문화유산,12,POI012,창덕궁·종묘,종묘,Changdeokgung Palace & Jongmyo Shrine,,,,,,,,,,,,,,,,,,,
인구밀집지역,13,POI013,가산디지털단지역,가산디지털단지역,Gasan Digital Complex station,,,,,,,,,,,,,,,,,,,
인구밀집지역,14,POI014,강남역,강남역,Gangnam station,,,,,,,,,,,,,,,,,,,
인구밀집지역,15,POI015,건대입구역,건대입구역,Konkuk University station,,,,,,,,,,,,,,,,,,,
인구밀집지역,16,POI016,고덕역,고덕역,Godeok station,,,,,,,,,,,,,,,,,,,
인구밀집지역,17,POI017,고속터미널역,고속터미널역,Express Bus Terminal station,,,,,,,,,,,,,,,,,,,
인구밀집지역,18,POI018,교대역,교대역,Seoul National University of Education station,,,,,,,,,,,,,,,,,,,
인구밀집지역,19,POI019,구로디지털단지역,구로디지털단지역,Guro Digital Complex station,,,,,,,,,,,,,,,,,,,
인구밀집지역,20,POI020,구로역,구로역,Guro station,,,,,,,,,,,,,,,,,,,
인구밀집지역,21,POI021,군자역,군자역,Gunja station,,,,,,,,,,,,,,,,,,,
인구밀집지역,22,POI022,남구로역,남구로역,Namguro station,,,,,,,,,,,,,,,,,,,
인구밀집지역,23,POI023,대림역,대림역,Daerim station,,,,,,,,,,,,,,,,,,,
인구밀집지역,24,POI024,동대문역,동대문역,Dongdaemun station,,,,,,,,,,,,,,,,,,,
인구밀집지역,25,POI025,뚝섬역,뚝섬역,Ttukseom station,,,,,,,,,,,,,,,,,,,
인구밀집지역,26,POI026,미아사거리역,미아사거리역,Miasageori station,,,,,,,,,,,,,,,,,,,
인구밀집지역,27,POI027,발산역,발산역,Balsan station,,,,,,,,,,,,,,,,,,,
인구밀집지역,28,POI028,북한산우이역,북한산우이역,Bukhansan Ui station,,,,,,,,,,,,,,,,,,,
인구밀집지역,29,POI029,사당역,사당역,Sadang station,,,,,,,,,,,,,,,,,,,
인구밀집지역,30,POI030,삼각지역,삼각지역,Samgakji station,,,,,,,,,,,,,,,,,,,
인구밀집지역,31,POI031,서울대입구역,서울대입구역,Seoul National University station,,,,,,,,,,,,,,,,,,,
인구밀집지역,32,POI032,서울식물원·마곡나루역,마곡나루역,Seoul Botanic Park·Magongnaru station,,,,,,,,,,,,,,,,,,,
인구밀집지역,33,POI033,서울역,서울역,Seoul station,,,,,,,,,,,,,,,,,,,
인구밀집지역,34,POI034,선릉역,선릉역,Seolleung station,,,,,,,,,,,,,,,,,,,
인구밀집지역,35,POI035,성신여대입구역,성신여대입구역,Sungshin Women's University station,,,,,,,,,,,,,,,,,,,
인구밀집지역,36,POI036,수유역,수유역,Suyu station,,,,,,,,,,,,,,,,,,,
인구밀집지역,37,POI037,신논현역·논현역,신논현역,Sinnonhyeon·Nonhyeon station,,,,,,,,,,,,,,,,,,,
인구밀집지역,38,POI038,신도림역,신도림역,Sindorim station,,,,,,,,,,,,,,,,,,,
인구밀집지역,39,POI039,신림역,신림역,Sillim station,,,,,,,,,,,,,,,,,,,
인구밀집지역,40,POI040,신촌·이대역,신촌·이대역,Sinchon·Ewha Womans University station,,,,,,,,,,,,,,,,,,,
인구밀집지역,41,POI041,양재역,양재역,Yangjae station,,,,,,,,,,,,,,,,,,,
인구밀집지역,42,POI042,역삼역,역삼역,Yeoksam station,,,,,,,,,,,,,,,,,,,
인구밀집지역,43,POI043,연신내역,연신내역,Yeonsinnae station,,,,,,,,,,,,,,,,,,,
인구밀집지역,44,POI044,오목교역·목동운동장,오목교역,Omokgyo·Mok-dong Stadium station,,,,,,,,,,,,,,,,,,,
인구밀집지역,45,POI045,왕십리역,왕십리역,Wangsimni station,,,,,,,,,,,,,,,,,,,
인구밀집지역,46,POI046,용산역,용산역,Yongsan station,,,,,,,,,,,,,,,,,,,
인구밀집지역,47,POI047,이태원역,이태원역,Itaewon station,,,,,,,,,,,,,,,,,,,
인구밀집지역,48,POI048,장지역,장지역,Jangji station,,,,,,,,,,,,,,,,,,,
인구밀집지역,49,POI049,장한평역,장한평역,Janghanpyeong station,,,,,,,,,,,,,,,,,,,
인구밀집지역,50,POI050,천호역,천호역,Cheonho station,,,,,,,,,,,,,,,,,,,
