S-DoT 시리얼번호,유동인구 시리얼 번호
OC3CL200100,4030
OC3CL200104,4029
V02Q1940448,3014
V02Q1940949,3027
V02Q1940746,3040
OC3CL200046,4027
OC3CL200026,4024
OC3CL200027,4026
OC3CL200025,4025
V02Q1940783,3013
V02Q1940665,3010
V02Q1940846,3015
V02Q1940799,3019
OC3CL200030,4028
V02Q1940889,2993
V02Q1940952,3039
V02Q1940301,3033
V02Q1940756,3036
V02Q1940947,2994
V02Q1940747,3021
V02Q1940449,3002
OC3CL200096,4032
V02Q1940945,2997
V02Q1940711,3038
OC3CL200045,4023
V02Q1940346,3031
V02Q1940853,3032
OC3CL200028,4035
V02Q1940658,3034
V02Q1940517,3022
OC3CL200029,4048
V02Q1940860,3006
V02Q1940888,2995
OC3CL200012,4047
V02Q1940140,3000
V02Q1940515,3009
V02Q1940136,3041
V02Q1940862,3017
V02Q1940858,3026
V02Q1940656,3030
V02Q1940948,2999
V02Q1940247,3037
V02Q1940220,3029
V02Q1940950,3001
V02Q1940076,3007
V02Q1940885,3028
OC3CL200010,4044
OC3CL200011,4045
V02Q1940953,3011
V02Q1940164,2998
V02Q1940954,3020
OC3CL200022,4008
OC3CL200023,4009
OC3CL200015,4012
OC3CL200024,4011
OC3CL200021,4046
OC3CL200016,4013
V02Q1940724,3005
OC3CL200020,4010
OC3CL210108,4051
OC3CL200017,4007
OC3CL200072,4006
V02Q1940770,3025
V02Q1940851,2996
V02Q1940142,3024
OC3CL200074,4033
OC3CL200013,4039
V02Q1940808,3012
OC3CL200040,4041
OC3CL200041,4017
OC3CL200044,4019
OC3CL200014,4016
OC3CL200043,4014
OC3CL200042,4015
OC3CL200047,4018
V02Q1940944,3018
V02Q1940727,3023
V02Q1940946,3003
V02Q1940951,3016
V02Q1940942,2992
OC3CL200034,4036
OC3CL200019,4020
OC3CL200035,4022
OC3CL200036,4021
OC3CL200038,4038
OC3CL200037,4037
OC3CL200039,4040
OC3CL200076,4001
OC3CL200075,4003
OC3CL200078,4002
OC3CL200018,4042
OC3CL200032,4043
OC3CL200033,4034
V02Q1940941,3004
V02Q1940117,3035
V02Q1940943,3008
OC3CL200229,4050
OC3CL200031,4031
OC3CL200228,4049
OC3CL200077,4004
OC3CL200079,4005
