AREA_CLOSE,ENG_NM
"잠실종합운동장, 선릉역, 역삼역, 압구정로데오거리, 청담동명품거리",Gangnam MICE Special Tourist Zone
"동대문역, 동대문디자인플라자, 광장시장, 종로",Dongdaemun Fashion Town Special Tourist Zone
"서울광장, 북창동 먹자골목, 남대문시장, 종각, 광화문덕수궁",Myeong-dong Namdaemun Bukchang-dong Da-dong Mugyo-dong Special Tourist Zone
"이태원역, 이태원가구거리, 해방촌경리단길, 삼각지역",Itaewon Special Tourist Zone
"잠실한강공원, 가락시장, 천호역, 뚝섬한강공원",Jamsil Special Tourist Zone
"광장시장, 익선동, 종묘, 동대문역, DDP",Jongno Cheonggye Special Toruist Zone
"홍대입구역, 연남동, 신촌이대역, 합정역, 망원한강공원",HongDae Culture & Arts Special Tourist Zone
"청와대, 북촌한옥마을, 경복궁, 서촌, 익선동",Gyeongbokgung Palace
"광화문광장, 종각, 서울광장, 덕수궁길",Gwanghwamun & Deoksugung Palace
"익선동, 광화문광장, 광화문, 서울광장, 명동",Bosingak
"아차산, 광나루한강공원, 고덕역, 천호역",Amsa Prehistoric Settlement Site
"혜화역, 낙산공원, 광장시장, 익선동, 북촌한옥마을",Changdeokgung Palace & Jongmyo Shrine
"남구로역, 구로디지털단지역, 대림역, 구로역",Gasan Digital Complex station
"신논현역, 교대역, 역삼역, 양재역, 고속터미널역",Gangnam station
"성수카페거리, 어린이대공원, 뚝섬한강공원, 군자역,뚝섬역",Konkuk University station
"암사동, 광나루한강공원, 천호역, 잠실관광특구, 아차산",Godeok station
"신논현역, 반포한강공원, 교대역, 서리풀공원",Express Bus Terminal station
"고속터미널역, 서리풀공원, 강남역, 신논현역, 양재역",Seoul National University of Education station
"대림역, 남구로역, 가산디지털단지역, 구로역, 신림역",Guro Digital Complex station
"신도림역, 대림역, 남구로역, 구로디지털단지역, 영등포타임스퀘어",Guro station
"장한평역, 아차산, 어린이대공원, 건대입구역, 성수카페거리",Gunja station
"대림역, 구로디지털단지역, 가산디지털단지역, 구로역, 신도림역",Namguro station
"남구로역, 구로디지털단지역, 가산디지털단지역, 신도림역, 구로역",Daerim station
"동대문, DDP, 광장시장, 종로, 낙산공원, 동대문",Dongdaemun station
"서울숲공원, 성수카페거리, 응봉산, 왕십리역, 건대입구역",Ttukseom station
